@relation testData.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric

@data
0,0,19.1,6.5,1,17
0,0,7.6,6.5,1,24
0,0,21,6.5,1,16
0,0,7.5,6.5,1,17
0,0,0.5,6.5,1,14
0,0,-3.7,6.5,1,12
0,0,5.3,6.5,1,13
0,0,23.3,6.5,1,17
0,0,24.7,6.5,1,16
0,0,15.1,6.5,1,11
1124,0,11.5,14,8,128
1096,0,3.6,14,8,149
1458,0,15.4,14,8,155
1007,0,22.5,14,8,111
913,0,20.2,14,8,82
752,0,5.3,14,8,128
837,0,24.7,14,8,128
1069,0,18,14,8,155
884,0,18.9,14,8,123
622,0,17,16,12,160
624,0,11.5,16,12,171
588,0,7.7,16,12,160
751,0,7.6,16,12,134
559,0,22.5,16,12,89
583,0,17.2,16,12,146
683,0,7.5,16,12,138
744,0,0.5,16,12,191
474,0,5.3,16,12,198
666,0,12,16,12,180
649,0,24.7,16,12,124
700,0,7.6,20,5,125
713,0,13.6,20,5,112
629,0,15.4,20,5,103
668,0,21,20,5,106
465,0,22.5,20,5,98
668,0,10.8,20,5,121
735,0,11,20,5,85
688,0,17.1,20,5,140
608,0,23.3,20,5,111
484,0,24.7,20,5,93
565,0,18,20,5,161
572,0,13.2,20,5,136
523,0,8,20,5,136
300,0,4.2,20,5,88
406,0,6.9,20,5,109
423,0,17.5,20,5,113
496,0,20.1,20,5,130
482,0,21.5,20,5,112
484,0,15.1,20,5,130
426,0,8.5,20,5,84
458,0,3.1,20,5,110
0,0,1.1,15,4,38
0,0,13.6,15,4,65
0,0,15.4,15,4,65
0,0,15.1,15,4,81
683,0,7.6,16,3,112
666,0,21,16,3,91
487,0,22.5,16,3,79
523,0,10.8,16,3,82
469,0,7.5,16,3,102
535,0,11,16,3,82
460,0,12,16,3,75
543,0,18.9,16,3,79
329,0,3.1,16,3,64
1491,0,21,18,5,163
785,0,17.2,18,5,131
890,0,7.5,18,5,148
514,0,-3.7,18,5,135
965,0,12,18,5,165
0,0,1.1,22,5,58
0,0,7.6,22,5,86
0,0,21,22,5,77
0,0,10.8,2,5,80
0,0,11,22,5,77
0,0,12,22,5,87
1508,0,8.6,18.25,15,250
1983,0,15.4,18.25,15,240
1322,0,22.5,18.25,15,244
1867,0,10.8,18.25,15,231
1703,0,0.5,18.25,15,184
1794,0,12,18.25,15,208
1558,0,8.5,18.25,15,163
1338,0,1.1,20,23,277
2109,0,15.4,20,23,344
1129,0,3.1,20,23,262
504,0,21,22,5,95
347,0,17.2,22,5,80
300,0,8.5,22,5,77
239,0,3.1,22,5,83
558,0,7.6,22,5,133
527,0,22.5,22,5,103
514,0,17.2,22,5,117
428,0,0.5,22,5,103
496,0,5.3,22,5,107
353,0,4.6,22,5,108
294,0,3.1,22,5,148
1446,1,19.4,22,14,392
1718,1,3.6,22,14,327
638,1,-3.7,22,14,266
1620,1,17.1,22,14,385
1688,1,23.3,22,14,229
1224,1,24.7,22,14,303
1160,1,17.5,22,14,293
797,1,3.1,22,14,344
