@relation trainData.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric

@data
0,0,17,6.5,1,23
0,0,19.4,6.5,1,25
0,0,23.9,6.5,1,23
0,0,23.1,6.5,1,24
0,0,11.5,6.5,1,17
0,0,7.7,6.5,1,20
0,0,3.6,6.5,1,20
0,0,1.1,6.5,1,16
0,0,8.6,6.5,1,22
0,0,13.6,6.5,1,26
0,0,15.4,6.5,1,22
0,0,22.5,6.5,1,25
0,0,20.2,6.5,1,20
0,0,17.2,6.5,1,16
0,0,10.8,6.5,1,19
0,0,11,6.5,1,17
0,0,12,6.5,1,16
0,0,17.1,6.5,1,15
0,0,24.7,6.5,1,19
0,0,18,6.5,1,17
0,0,13.2,6.5,1,11
0,0,8,6.5,1,10
0,0,4.6,6.5,1,10
0,0,4.2,6.5,1,10
0,0,2.6,6.5,1,11
0,0,6.9,6.5,1,10
0,0,17.5,6.5,1,12
0,0,20.1,6.5,1,11
0,0,21.5,6.5,1,12
0,0,18.9,6.5,1,13
0,0,8.5,6.5,1,12
0,0,3.1,6.5,1,11
1286,0,17,14,8,131
1194,0,19.4,14,8,129
872,0,23.9,14,8,89
788,0,23.1,14,8,75
1067,0,19.1,14,8,135
1124,0,7.7,14,8,128
1309,0,7.6,14,8,160
1472,0,13.6,14,8,186
1383,0,21,14,8,137
1057,0,17.2,14,8,166
1058,0,10.8,14,8,162
1062,0,7.5,14,8,128
895,0,0.5,14,8,128
645,0,-3.7,14,8,128
987,0,11,14,8,128
1001,0,12,14,8,128
1306,0,17.1,14,8,128
1292,0,23.3,14,8,128
833,0,24.7,14,8,124
986,0,13.2,14,8,128
1004,0,8,14,8,144
803,0,4.6,14,8,199
540,0,4.2,14,8,123
525,0,2.6,14,8,126
1097,0,20.1,14,8,137
990,0,21.5,14,8,114
900,0,15.1,14,8,121
760,0,8.5,14,8,113
745,0,3.1,14,8,107
677,0,19.4,16,12,233
551,0,23.9,16,12,137
494,0,23.1,16,12,111
721,0,19.1,16,12,177
658,0,3.6,16,12,137
378,0,1.1,16,12,125
600,0,8.6,16,12,113
809,0,13.6,16,12,137
684,0,20.2,16,12,125
647,0,10.8,16,12,120
356,0,-3.7,16,12,147
884,0,11,16,12,155
827,0,17.1,16,12,162
814,0,23.3,16,12,179
698,0,24.7,16,12,143
624,0,18,16,12,208
657,0,13.2,16,12,230
641,0,8,16,12,175
478,0,3.1,16,12,238
474,0,23.9,20,5,81
414,0,23.1,20,5,65
550,0,19.1,20,5,157
654,0,11.5,20,5,179
639,0,7.7,20,5,165
669,0,3.6,20,5,176
468,0,1.1,20,5,111
563,0,8.6,20,5,129
462,0,20.2,20,5,106
500,0,17.2,20,5,118
643,0,7.5,20,5,120
434,0,0.5,20,5,89
513,0,12,20,5,73
423,0,24.7,20,5,83
443,0,4.6,20,5,129
327,0,2.6,20,5,95
453,0,18.9,20,5,122
0,0,8.6,15,4,57
0,0,7.6,15,4,59
0,0,21,15,4,55
0,0,22.5,15,4,42
0,0,20.2,15,4,41
0,0,17.2,15,4,52
0,0,10.8,15,4,53
0,0,8.5,15,4,61
0,0,3.1,15,4,49
724,0,13.6,16,3,110
720,0,15.4,16,3,103
570,0,20.2,16,3,93
495,0,17.2,16,3,80
463,0,0.5,16,3,85
299,0,-3.7,16,3,56
349,0,5.3,16,3,78
531,0,15.1,16,3,65
403,0,8.5,16,3,58
960,0,1.1,18,5,118
1227,0,8.6,18,5,157
1473,0,7.6,18,5,160
1334,0,13.6,18,5,186
1029,0,22.5,18,5,91
698,0,20.2,18,5,101
944,0,10.8,18,5,148
871,0,0.5,18,5,129
669,0,5.3,18,5,158
1102,0,11,18,5,190
671,0,8.5,18,5,120
534,0,3.1,18,5,96
0,0,8.6,22,5,78
0,0,13.6,22,5,82
0,0,15.4,22,5,87
0,0,22.5,22,5,58
0,0,20.2,22,5,78
0,0,17.2,22,5,80
0,0,7.5,22,5,79
0,0,0.5,22,5,70
0,0,-3.7,22,5,46
0,0,5.3,22,5,63
0,0,15.1,22,5,99
0,0,8.5,22,5,77
0,0,3.1,22,5,83
1285,0,1.1,18.25,15,149
2027,0,7.6,18.25,15,206
1595,0,13.6,18.25,15,190
1815,0,21,18.25,15,168
1436,0,20.2,18.25,15,245
1835,0,17.2,18.25,15,172
1865,0,7.5,18.25,15,231
988,0,-3.7,18.25,15,150
1703,0,5.3,18.25,15,292
2134,0,11,18.25,15,222
1682,0,18.9,18.25,15,263
2008,0,15.1,18.25,15,191
1627,0,3.1,18.25,15,209
1665,0,8.6,20,23,330
2359,0,7.6,20,23,352
2139,0,13.6,20,23,361
1594,0,21,20,23,372
1262,0,22.5,20,23,226
1890,0,17.2,20,23,359
1961,0,10.8,20,23,352
1985,0,7.5,20,23,321
1724,0,0.5,20,23,200
1152,0,-3.7,20,23,277
1407,0,5.3,20,23,330
2204,0,11,20,23,352
1968,0,12,20,23,361
1085,0,18.9,20,23,225
1226,0,15.1,20,23,206
911,0,8.5,20,23,236
285,0,1.1,22,5,56
387,0,8.6,22,5,85
485,0,7.6,22,5,102
453,0,13.6,22,5,93
492,0,15.4,22,5,85
445,0,22.5,22,5,66
256,0,20.2,22,5,60
353,0,10.8,22,5,88
382,0,7.5,22,5,85
414,0,0.5,22,5,70
196,0,-3.7,22,5,52
340,0,5.3,22,5,66
508,0,11,22,5,77
383,0,12,22,5,87
369,0,18.9,22,5,141
403,0,15.1,22,5,99
678,0,13.6,22,5,115
631,0,15.4,22,5,106
734,0,21,22,5,141
535,0,20.2,22,5,95
570,0,10.8,22,5,130
509,0,7.5,22,5,120
356,0,-3.7,22,5,84
714,0,11,22,5,127
523,0,12,22,5,135
681,0,17.1,22,5,129
649,0,23.3,22,5,113
598,0,24.7,22,5,115
666,0,24.7,22,5,80
466,0,18,22,5,101
431,0,13.2,22,5,103
340,0,8,22,5,119
300,0,4.2,22,5,145
332,0,2.6,22,5,141
489,0,6.9,22,5,156
414,0,17.5,22,5,176
464,0,20.1,22,5,114
416,0,21.5,22,5,109
262,0,18.9,22,5,69
364,0,15.1,22,5,76
271,0,8.5,22,5,76
1514,1,17,22,14,336
1184,1,23.9,22,14,298
1105,1,23.1,22,14,294
1683,1,19.1,22,14,367
1626,1,11.5,22,14,301
1650,1,7.7,22,14,292
1433,1,8.6,22,14,349
1637,1,7.6,22,14,316
1844,1,13.6,22,14,385
1661,1,15.4,22,14,302
1445,1,21,22,14,229
1517,1,22.5,22,14,303
1363,1,20.2,22,14,198
1379,1,17.2,22,14,255
1330,1,10.8,22,14,301
1468,1,7.5,22,14,325
1270,1,0.5,22,14,278
1122,1,5.3,22,14,276
1411,1,12,22,14,385
1241,1,24.7,22,14,194
1344,1,18,22,14,303
1345,1,13.2,22,14,332
1413,1,8,22,14,314
1180,1,4.6,22,14,277
947,1,4.2,22,14,267
653,1,2.6,22,14,232
1177,1,6.9,22,14,267
1466,1,20.1,22,14,276
1378,1,21.5,22,14,285
1176,1,18.9,22,14,369
1030,1,15.1,22,14,369
923,1,8.5,22,14,339
